time,Latitude,Longitude,altitude,PM-2.5,Temp.
2020-08-30 07:06:36,26.9173206,75.8011195,433.61,60,32
2020-08-30 07:06:38,26.9172808,75.8011082,433.72,47,32
2020-08-30 07:06:39,26.917256199999997,75.8011002,434.02,34,32
2020-08-30 07:06:40,26.9172329,75.8010946,434.26,40,32
2020-08-30 07:06:41,26.917223800000002,75.8010927,434.21,46,32
2020-08-30 07:06:42,26.9172049,75.8010886,439.77,44,32
2020-08-30 07:06:44,26.917166899999998,75.8010795,440.17,52,32
2020-08-30 07:06:45,26.9171528,75.8010772,440.22,50,32
2020-08-30 07:06:46,26.917140399999997,75.80107579999999,440.27,50,32
2020-08-30 07:06:47,26.9171257,75.8010731,441.27,46,32
2020-08-30 07:06:48,26.9171145,75.8010709,441.48,45,32
2020-08-30 07:06:50,26.9171029,75.801066,441.58,61,32
2020-08-30 07:06:51,26.917091499999998,75.8010625,441.79,42,32
2020-08-30 07:06:52,26.917081699999997,75.8010599,442.01,49,32
2020-08-30 07:06:53,26.917052299999998,75.8010517,446.3,55,32
2020-08-30 07:06:54,26.917030800000003,75.8010464,446.51,61,32
2020-08-30 07:06:56,26.9169898,75.8010321,446.74,48,32
2020-08-30 07:06:57,26.916974300000003,75.80102729999999,446.61,35,32
2020-08-30 07:06:58,26.9169566,75.8010193,447.88,47,32
2020-08-30 07:06:59,26.9169434,75.80101259999999,447.49,45,32
2020-08-30 07:07:00,26.9169243,75.8010056,447.49,42,32
2020-08-30 07:07:02,26.916895500000003,75.80099399999999,447.32,50,32
2020-08-30 07:07:03,26.9168831,75.8009908,447.05,33,32
2020-08-30 07:07:04,26.9168664,75.800985,454.63,36,32
2020-08-30 07:07:05,26.9168488,75.8009785,454.9,39,32
2020-08-30 07:07:07,26.91682,75.8009678,454.89,49,32
2020-08-30 07:07:08,26.9168011,75.8009605,454.99,43,32
2020-08-30 07:07:09,26.9167796,75.8009552,455.4,39,32
2020-08-30 07:07:10,26.916769899999995,75.80095179999999,455.55,45,33
2020-08-30 07:07:11,26.916745799999998,75.800945,463.71,54,33
2020-08-30 07:07:13,26.916713800000004,75.8009335,464.57,50,33
2020-08-30 07:07:14,26.9166981,75.8009301,464.72,38,33
2020-08-30 07:07:15,26.9166855,75.80092890000002,457.63,39,33
2020-08-30 07:07:16,26.916671700000002,75.8009271,457.56,62,33
2020-08-30 07:07:17,26.9166587,75.80092420000001,457.95,176,33
2020-08-30 07:07:19,26.9166386,75.80091540000001,458.31,106,33
2020-08-30 07:07:20,26.9166353,75.8009112,458.37,88,33
2020-08-30 07:07:21,26.9166282,75.8009017,453.07,84,33
2020-08-30 07:07:22,26.916617,75.80089579999999,452.93,41,33
2020-08-30 07:07:23,26.9166067,75.8008931,452.81,48,33
2020-08-30 07:07:25,26.916574600000004,75.8008865,452.92,53,33
